time_series_name,model_run_date,prediction_date,predicted_value
time_series_0,03/04/2022,12/04/2022,-4.87965829
time_series_0,03/04/2022,13/04/2022,0.283227161
time_series_0,03/04/2022,14/04/2022,1.821800209
time_series_0,03/04/2022,15/04/2022,0.005512102
time_series_0,03/04/2022,16/04/2022,4.714951636
time_series_0,10/04/2022,10/04/2022,-1.178361452
time_series_0,10/04/2022,11/04/2022,-3.310002321
time_series_0,10/04/2022,12/04/2022,-5.268258528
time_series_0,10/04/2022,13/04/2022,-1.887301518
time_series_0,10/04/2022,14/04/2022,-0.645851629
time_series_0,10/04/2022,15/04/2022,-2.393501972
time_series_0,10/04/2022,16/04/2022,3.727218208
time_series_0,10/04/2022,17/04/2022,0.880952054
time_series_0,10/04/2022,18/04/2022,-4.854831206
time_series_0,10/04/2022,19/04/2022,4.025974729
time_series_0,10/04/2022,20/04/2022,-9.036285975
time_series_0,10/04/2022,21/04/2022,-11.37198123
time_series_0,10/04/2022,22/04/2022,-2.360517135
time_series_0,10/04/2022,23/04/2022,4.879083645
time_series_0,17/04/2022,17/04/2022,3.111605346
time_series_0,17/04/2022,18/04/2022,1.827287533
time_series_0,17/04/2022,19/04/2022,-2.526051019
time_series_0,17/04/2022,20/04/2022,-4.817391663
time_series_0,17/04/2022,21/04/2022,-5.99325915
time_series_0,17/04/2022,22/04/2022,1.385672447
time_series_0,17/04/2022,23/04/2022,1.855346206
time_series_0,17/04/2022,24/04/2022,3.758566953
time_series_0,17/04/2022,25/04/2022,6.01888146
time_series_0,17/04/2022,26/04/2022,-3.259309394
time_series_0,17/04/2022,27/04/2022,-9.611284635
time_series_0,17/04/2022,28/04/2022,-1.67945874
time_series_0,17/04/2022,29/04/2022,-2.171005174
time_series_0,17/04/2022,30/04/2022,-13.92134206
time_series_0,24/04/2022,24/04/2022,3.528884983
time_series_0,24/04/2022,25/04/2022,2.716721234
time_series_0,24/04/2022,26/04/2022,2.208029869
time_series_0,24/04/2022,27/04/2022,0.611304324
time_series_0,24/04/2022,28/04/2022,-2.967137299
time_series_0,24/04/2022,29/04/2022,-5.600904781
time_series_0,24/04/2022,30/04/2022,-5.681963243
time_series_0,24/04/2022,01/05/2022,-4.649135534
time_series_0,24/04/2022,02/05/2022,4.147450003
time_series_0,24/04/2022,03/05/2022,2.505587295
time_series_0,24/04/2022,04/05/2022,13.80009853
time_series_0,24/04/2022,05/05/2022,15.39282652
time_series_0,24/04/2022,06/05/2022,-0.65741616
time_series_0,24/04/2022,07/05/2022,-0.754820551
time_series_0,01/05/2022,01/05/2022,-0.030814265
time_series_0,01/05/2022,02/05/2022,1.071725828
time_series_0,01/05/2022,03/05/2022,2.852873295
time_series_0,01/05/2022,04/05/2022,4.573504549
time_series_0,01/05/2022,05/05/2022,2.994611111
time_series_0,01/05/2022,06/05/2022,2.72126826
time_series_0,01/05/2022,07/05/2022,1.520488304
time_series_0,01/05/2022,08/05/2022,-6.278582183
time_series_0,01/05/2022,09/05/2022,-4.079143676
time_series_0,01/05/2022,10/05/2022,-5.431770807
time_series_0,01/05/2022,11/05/2022,-6.091494345
time_series_0,01/05/2022,12/05/2022,6.613531508
time_series_0,01/05/2022,13/05/2022,11.93887918
time_series_0,01/05/2022,14/05/2022,9.671986933
time_series_0,08/05/2022,08/05/2022,-4.370425965
time_series_0,08/05/2022,09/05/2022,-2.617628566
time_series_0,08/05/2022,10/05/2022,-1.237791219
time_series_0,08/05/2022,11/05/2022,-1.903998286
time_series_0,08/05/2022,12/05/2022,6.2595312
time_series_0,08/05/2022,13/05/2022,3.101794898
time_series_0,08/05/2022,14/05/2022,-2.607298917
time_series_0,08/05/2022,15/05/2022,-0.977127558
time_series_0,08/05/2022,16/05/2022,0.674663708
time_series_0,08/05/2022,17/05/2022,-6.242575176
time_series_0,08/05/2022,18/05/2022,-9.152328521
time_series_0,08/05/2022,19/05/2022,-3.564672364
time_series_0,08/05/2022,20/05/2022,2.59123994
time_series_0,08/05/2022,21/05/2022,6.605667915
time_series_0,15/05/2022,15/05/2022,1.881022678
time_series_0,15/05/2022,16/05/2022,-4.086699061
time_series_0,15/05/2022,17/05/2022,-1.660071991
time_series_0,15/05/2022,18/05/2022,-3.337786541
time_series_0,15/05/2022,19/05/2022,-4.589565141
time_series_0,15/05/2022,20/05/2022,1.288302738
time_series_0,15/05/2022,21/05/2022,6.245801051
time_series_0,15/05/2022,22/05/2022,15.05619467
time_series_0,15/05/2022,23/05/2022,4.023211687
time_series_0,15/05/2022,24/05/2022,9.032211232
time_series_0,15/05/2022,25/05/2022,-4.790684439
time_series_0,15/05/2022,26/05/2022,-12.88667932
time_series_0,15/05/2022,27/05/2022,-7.170328123
time_series_0,15/05/2022,28/05/2022,-5.064995794
time_series_0,22/05/2022,22/05/2022,6.032408898
time_series_0,22/05/2022,23/05/2022,2.442548459
time_series_0,22/05/2022,24/05/2022,-0.759268651
time_series_0,22/05/2022,25/05/2022,-3.29013931
time_series_0,22/05/2022,26/05/2022,-4.585614963
time_series_0,22/05/2022,27/05/2022,-0.996169273
time_series_0,22/05/2022,28/05/2022,4.161571494
time_series_0,22/05/2022,29/05/2022,6.276243212
time_series_0,22/05/2022,30/05/2022,-3.629125905
time_series_0,22/05/2022,31/05/2022,-1.228767384
time_series_0,22/05/2022,01/06/2022,3.113879739
time_series_0,22/05/2022,02/06/2022,3.847659099
time_series_0,22/05/2022,03/06/2022,-17.31441396
time_series_0,22/05/2022,04/06/2022,-4.697339692
time_series_0,29/05/2022,29/05/2022,4.340464774
time_series_0,29/05/2022,30/05/2022,4.778648903
time_series_0,29/05/2022,31/05/2022,5.769733192
